Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
Computer-aided software engineering (CASE) is classified into 3 categories. Which of these have the correct 3?,multiple-choice,"Tools, workbenches and environments.","Tools, environments and scenarios.","Workbenches, environments and scenarios.","Workbenches, use cases and tools.",,,1,"CASE (Computer-Aided Software Engineering) software is classified into 3 categories: Tools support specific tasks in the software life-cycle. Workbenches combine two or more tools focused on a specific part of the software life-cycle. Environments combine two or more tools or workbenches and support the complete software life-cycle. Used for developing high-quality, defect-free, and maintainable software. Often associated with methods for the development of information systems together with automated tools that can be used in the software development process.",CBK 8: Software Development Security
"When we release our software as open source, we do what?",multiple-choice,"Release the software, but not the code.",Release the code and the software.,Release neither the software or code.,"Release the code, but not the software.",,,2,"Open source: We release the code publicly, where it can be tested, improved and corrected, but it also allows attackers to find the flaws in the code.",CBK 8: Software Development Security
"What do we release when we want users to test our software, but we are disabling key features of the software?",multiple-choice,Cripple ware.,Shareware.,Freeware.,Bloatware.,,,1,"Cripple ware: Partially functioning proprietary software, often with key features disabled. The user is required to make a payment to unlock the full functionality.",CBK 8: Software Development Security
We are looking at SDLC project management software development methodologies. Which of these NOT one of them?,multiple-choice,Waterfall.,Agile.,Sashimi.,Bottom-up.,,,4,"Waterfall , Agile and Sashimi are all SDLC methods, bottom-up is not.",CBK 8: Software Development Security
Each row in a relational database is called a/an:,multiple-choice,Tuple.,Attribute.,Relation.,Schema.,,,1,"Relational model: Rows are also called records or tuples. Generally, each table/relation represents one entity type. The rows represent instances of that type of entity and the columns representing values attributed to that instance.",CBK 8: Software Development Security
"In Scrum project management, what is the product owner’s role?",multiple-choice,Representing the stakeholders/customers.,Developing the code/product at the end of each sprint.,Removing obstacles for the development team.,Being a traditional project manager.,,,1,"The product owner: Representing the product's stakeholders, the voice of the customer, and is accountable for ensuring that the team delivers value to the business.",CBK 8: Software Development Security
"Looking at our relational databases and the errors they can have, if we talk about semantic integrity, to what are we referring?",multiple-choice,When every foreign key in a secondary table matches the primary key in the parent table.,Each attribute value is consistent with the attribute data type.,Each tuple has a unique primary value that is not null.,When the database has errors.,,,2,Semantic integrity: Each attribute value is consistent with the attribute data type.,CBK 8: Software Development Security
We are implementing database shadowing. How does it help us ensure we can recover from a data loss on our primary systems?,multiple-choice,"It sends transaction logs to a remote location, but not the files themselves. We can rebuild the transactions from the logs.",It uses a remote backups service that sends backup files electronically offsite at a certain interval or when the files change.,"It makes an exact real time copy at another location, this can be another local disk or preferred remote to another type of media.",It takes a full backup of our database once a week to tape.,,,3,"Database shadowing: Exact real time copy of the database or files to another location. It can be another disk in the same server, but best practices dictates another geographical location, often on a different media.",CBK 8: Software Development Security
"In Agile XP software development, we would normally do all of these, EXCEPT what?",multiple-choice,Programming pairs.,Unit testing of all code.,Expect changing requirements.,Use daily stand-up meetings.,,,4,"XP (Extreme programming): Intended to improve software quality and responsiveness to changing customer requirements. Uses advocates frequent releases in short development cycles, intended to improve productivity and introduce checkpoints at which new customer requirements can be adopted. XP uses: Programming in pairs or doing extensive code review. Unit testing of all code. Avoiding programming of features until they are actually needed. Flat management structure. Code simplicity and clarity. Expecting changes in the customer's requirements as time passes and the problem is better understood. Frequent communication with the customer and among programmers.",CBK 8: Software Development Security
Bob is doing cleanups on one of our databases. He has found entries that do not match the data type. Which kind of integrity error is this?,multiple-choice,Referential.,Sematic.,Entity.,Foreign.,,,2,Semantic integrity: Each attribute value is consistent with the attribute data type.,CBK 8: Software Development Security
What would we do to mitigate injection attacks (OWASP A1)?,multiple-choice,Input length limitations.,Captcha.,Random session IDs.,Remove default passwords and usernames.,,,1,"A1 Injection: Can be any code injected into user forms; often seen is SQL/LDAP. Attackers can do this because our software does not use the following: strong enough input validation and data type limitations on input fields; input length limitations. The fix is to do just that; we only allow users to input appropriate data into the fields, only letters in names, numbers in phone number, have dropdowns for country and state (if applicable), we limit how many characters people can use per cell, etc.",CBK 8: Software Development Security
We are implementing e-vaulting. How does it help us recover from a data loss on our primary systems?,multiple-choice,"It sends transaction logs to a remote location, but not the files themselves. We can rebuild the transactions from he logs.",It uses a remote backups service that sends backups files electronically offsite at a certain interval or when the files change.,"It makes an exact real time copy at another location, this can be another local disk or preferred remote to another type of media.",It takes a full backup of our database once a week to tape.,,,2,"Electronic vaulting (e-vaulting): Using a remote backup service, backups are sent off-site electronically at a certain interval or when files change.",CBK 8: Software Development Security
"In software acceptance testing, what is the purpose of the operational acceptance testing?",multiple-choice,"To ensure the backups are in place, we have a DR plan: how patching is handled, and that the software is tested for vulnerabilities.","To ensure the software is as secure or more secure than the rules, laws and regulations of our industry.",To ensure the software performs as expected in our live environment vs. our development environment.,To ensure the software is functional for and tested by the end user and the application manager.,,,1,Operational acceptance testing: Does the software and all of the components it interacts with ready requirements for operation? Tested by system administrators; are the backups in place? Do we have a DR plan? How do we handle patching? Is it checked for vulnerabilities? Etc.,CBK 8: Software Development Security
"Which project management methodology, welcomes changing requirements, frequent deliveries, and uses face-to-face meetings?",multiple-choice,Waterfall,Sashimi.,Spiral.,Agile.,,,4,"Agile software development: Describes a set of values and principles for software development under which requirements and solutions evolve through the collaborative effort of self-organizing cross-functional teams. Uses adaptive planning, evolutionary development, early delivery, and continuous improvement, and it encourages rapid and flexible response to change.",CBK 8: Software Development Security
"As part of the annual board retreat, senior management is wanting to put a face on the IT organization and thinks Jane is a great candidate for it. They have asked her to talk briefly about native XML vulnerabilities. Which type of database does XML use?",multiple-choice,Object-oriented.,Relational.,Document-oriented.,Hierarchical.,,,3,"A document-oriented database, or document store, is a computer program designed for storing, retrieving and managing document-oriented information. XML databases are a subclass of document-oriented databases that are optimized to work with XML documents.",CBK 8: Software Development Security
"In CASE programming, designers use these categories of tools, EXCEPT which?",multiple-choice,Tools.,Workbenches.,Environments.,References.,,,4,"CASE (Computer-Aided Software Engineering): Similar to and were partly inspired by computer-aided design (CAD) tools used for designing hardware products. Used for developing high-quality, defect-free, and maintainable software. Often associated with methods for the development of information systems together with automated tools that can be used in the software development process. CASE software is classified into 3 categories: Tools support specific tasks in the software life-cycle. Workbenches combine two or more tools focused on a specific part of the software life-cycle. Environments combine two or more tools or workbenches and support the complete software life-cycle.",CBK 8: Software Development Security
"We are in the process of developing some new software. On some of our previous releases of different software we have had security problems. We are considering releasing the source code for the new software, what would that make our software?",multiple-choice,Open source.,Closed source.,Proprietary software.,Prevented software.,,,1,"Open source: We release the code publicly, where it can be tested, improved and corrected, but it also allows attackers to find the flaws in the code.",CBK 8: Software Development Security
"If we are using object-oriented analysis and design (OOAD), when would we apply the constraints to the conceptual model?",multiple-choice,OOA.,OOD.,OOM.,OOR.,,,2,"OOD (Object-oriented design):The developer applies the constraints to the conceptual model produced in object-oriented analysis. Such constraints could include the hardware and software platforms, the performance requirements, persistent storage and transaction, usability of the system, and limitations imposed by budgets and time. Concepts in the analysis model which is technology independent, are mapped onto implementing classes and interfaces resulting in a model of the how the system is to be built on specific technologies. Important topics during OOD also include the design of software architectures by applying architectural patterns and design patterns with object-oriented design principles.",CBK 8: Software Development Security
"Jane is leading a software development team. She is using the spiral model for this project, which of these is NOT one of the phases?",multiple-choice,Planning.,Initiation.,Risk analysis,Engineering.,,,2,"The spiral model: A risk-driven process model generator for software projects. The spiral model has four phases: Planning, Risk Analysis, Engineering and Evaluation. A software project repeatedly passes through these phases in iterations (called Spirals in this model). The baseline spiral, starting in the planning phase, requirements are gathered and risk is assessed. Each subsequent spirals builds on the baseline spiral.",CBK 8: Software Development Security
Bob is looking at GUI builders for an upcoming project. Which type of methodology is Bob MOST LIKELY going to use?,multiple-choice,Prototyping.,RAD.,Agile.,Spiral.,,,2,RAD (Rapid Application Development): Puts an emphasize adaptability and the necessity of adjusting requirements in response to knowledge gained as the project progresses. Prototypes are often used in addition to or sometimes even in place of design specifications. Very suited for developing software that is driven by user interface requirements. GUI builders are often called rapid application development tools.,CBK 8: Software Development Security
